"","REALRINC","SIBS","AGE","HAPPY","HEALTH","YOUNGEN"
"11268",3021,7,56,3,3,1
"11270",5287,8,49,2,1,2
"11272",5287,2,21,2,2,1
"11274",9819,3,33,3,2,1
"11275",13595,3,28,1,2,1
"11276",3021,1,36,2,1,2
"11277",16994,2,25,3,3,2
"11279",3021,1,33,1,2,2
"11280",755,11,79,1,3,1
"11282",32100,2,37,2,2,2
"11283",5287,2,20,2,1,1
"11284",3021,4,28,2,1,2
"11286",8308,11,57,3,1,1
"11288",32100,3,31,1,3,1
"11291",6798,8,67,3,2,1
"11293",20770,2,54,1,1,2
"11294",755,4,77,1,1,1
"11295",16994,11,65,1,3,1
"11304",3021,5,61,2,2,2
"11307",20770,4,45,2,2,2
"11310",24547,3,41,2,1,2
"11311",6798,3,23,2,3,2
"11312",20770,4,22,2,2,2
"11318",9819,2,60,2,2,1
"11320",3021,1,29,3,2,2
"11322",5287,5,27,2,2,2
"11323",3021,4,19,2,2,2
"11328",6798,3,23,3,1,2
"11330",5287,1,43,1,3,2
"11332",28323,5,26,2,2,2
"11333",28323,9,47,2,1,2
"11334",755,14,46,2,1,2
"11336",16994,1,50,2,2,2
"11337",16994,1,34,1,3,1
"11338",139297,2,64,1,2,2
"11340",139297,2,44,1,2,1
"11343",13595,4,26,2,2,2
"11346",755,10,21,1,1,2
"11348",13595,4,44,2,3,2
"11354",13595,5,25,1,2,2
"11357",16994,4,36,2,1,2
"11360",8308,10,33,1,2,1
"11361",5287,8,21,1,2,2
"11362",3021,4,22,1,2,1
"11364",13595,6,35,2,1,1
"11366",28323,3,41,2,2,2
"11367",16994,1,35,2,2,2
"11368",16994,1,51,1,1,1
"11369",3021,7,19,2,3,2
"11371",3021,5,30,2,2,1
"11372",9819,0,54,1,3,2
"11373",32100,7,50,2,2,2
"11374",755,13,45,3,1,2
"11375",11329,5,36,1,1,1
"11377",32100,6,43,1,3,2
"11378",5287,6,36,1,3,2
"11380",755,9,61,2,2,1
"11381",755,0,49,1,2,2
"11383",755,8,66,1,2,1
"11384",24547,6,54,2,3,2
"11386",13595,4,54,1,3,1
"11388",13595,1,31,2,1,2
"11389",16994,2,36,2,3,2
"11391",13595,5,33,2,3,2
"11393",13595,2,51,1,2,1
"11394",755,1,70,1,2,1
"11396",24547,6,26,2,2,2
"11398",56647,7,51,2,2,2
"11399",3021,4,35,2,2,1
"11400",3021,8,32,2,1,1
"11403",24547,6,19,3,2,1
"11405",13595,2,29,2,2,1
"11406",5287,3,27,1,2,2
"11408",28323,6,54,1,2,1
"11410",755,11,24,2,1,1
"11413",20770,9,27,2,3,1
"11414",16994,1,44,2,1,2
"11415",56647,0,55,3,1,2
"11418",32100,4,31,1,2,2
"11419",28323,1,26,2,1,1
"11420",20770,2,24,2,1,2
"11421",11329,9,47,1,1,2
"11422",8308,7,62,2,2,1
"11423",8308,4,27,2,1,2
"11424",13595,6,31,2,1,2
"11425",20770,2,27,3,4,2
"11426",28323,6,30,2,2,2
"11427",56647,2,61,1,1,2
"11428",20770,5,22,2,1,2
"11431",139297,1,40,2,2,2
"11432",139297,3,58,1,3,2
"11433",139297,1,49,1,1,2
"11434",13595,2,49,1,1,2
"11436",16994,2,54,2,1,2
"11437",755,6,35,1,3,2
"11438",56647,5,47,2,1,1
"11439",28323,2,33,1,1,2
"11441",755,8,52,3,2,1
"11444",56647,7,37,2,2,2
"11445",6798,0,36,3,1,2
"11448",32100,1,32,2,1,2
"11449",5287,4,22,2,1,2
"11450",13595,2,25,1,2,1
"11451",9819,0,31,2,3,2
"11454",8308,5,79,3,1,1
"11457",16994,3,27,2,1,2
"11459",3021,1,23,2,1,2
"11461",20770,4,43,2,2,2
"11462",13595,1,67,2,1,1
"11468",13595,3,64,2,3,1
"11472",5287,1,40,3,1,2
"11473",3021,4,22,2,2,1
"11474",13595,6,34,2,1,1
"11479",11329,5,36,2,1,2
"11481",755,5,19,2,1,2
"11482",11329,5,38,1,2,2
"11483",13595,3,22,2,1,2
"11484",5287,5,21,2,2,1
"11485",755,1,21,2,1,2
"11489",20770,3,20,2,1,2
"11490",20770,2,28,1,1,2
"11491",56647,5,57,2,2,2
"11492",56647,2,56,2,1,1
"11493",32100,1,48,2,1,2
"11494",13595,7,63,1,1,1
"11498",755,5,19,3,1,2
"11500",5287,4,70,2,2,2
"11501",32100,3,37,2,2,2
"11502",16994,1,66,3,2,2
"11504",56647,4,36,1,1,1
